"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","symbol","ENTREZID"
0.512911306542052,-0.333555541367434,0.146,0.155,1,"stable","Gzf1","74533"
0.512950920552135,-0.681548494835155,0.017,0.02,1,"stable","Gm4651","100043793"
0.513155651547864,0.395681599630887,0.042,0.037,1,"stable","4933407K13Rik","74396"
0.513276283121479,-0.190632142156161,0.171,0.181,1,"stable","Hsf1","15499"
0.513277813113536,-0.606924797364789,0.047,0.052,1,"stable","Osbpl5","79196"
0.513481810226702,-0.103237532220234,0.209,0.197,1,"stable","D5Ertd579e","320661"
0.513552563872201,-0.144643420395407,0.356,0.336,1,"stable","Tcof1","21453"
0.513577712368195,-0.187611136228587,0.258,0.245,1,"stable","Yae1d1","67008"
0.513741460995889,0.120777040640382,0.331,0.319,1,"stable","Mbd3","17192"
0.513761264052018,-0.25224382715543,0.275,0.263,1,"stable","Atl3","109168"
0.513800274937856,-0.201187377999289,0.097,0.089,1,"stable","Zfp777","72306"
0.514000918144506,-0.172073280121199,0.212,0.224,1,"stable","Mtm1","17772"
0.514305199233071,-0.277643054802247,0.42,0.425,1,"stable","Frat2","212398"
0.51430889711151,-0.327988415216877,0.268,0.274,1,"stable","Ckap4","216197"
0.514542672143835,-0.71396768057949,0.046,0.041,1,"stable","Spata6","67946"
0.514566408242389,0.193655117059857,0.179,0.173,1,"stable","Oxr1","170719"
0.514802560712197,-0.609568121204496,0.041,0.046,1,"stable","Crocc","230872"
0.514937223376732,-0.372898907528758,0.377,0.371,1,"stable","Zfhx3","11906"
0.51548896115204,0.582620205172544,0.024,0.02,1,"stable","Doc2g","60425"
0.515598367499415,-0.183713748373595,0.093,0.1,1,"stable","Fktn","246179"
0.515697423835702,0.39275248767844,0.096,0.09,1,"stable","Enpp4","224794"
0.515826532917089,0.567206548598498,0.027,0.023,1,"stable","Azgp1","12007"
0.515990109172216,0.311113453573539,0.024,0.02,1,"stable","Ovca2","246257"
0.516714626360924,-0.333956252821128,0.168,0.176,1,"stable","Phkg2","68961"
0.517389690266855,-0.118539589207064,0.26,0.269,1,"stable","Heca","380629"
0.517651661113949,-0.418198633015089,0.104,0.096,1,"stable","Lrch3","70144"
0.517743576807764,-0.301015837031698,0.244,0.251,1,"stable","Ppp1r37","232947"
0.517875289408417,-0.141961200741002,0.089,0.097,1,"stable","Lpin1","14245"
0.518080877488786,-0.137488808926516,0.189,0.179,1,"stable","Ypel5","383295"
0.518087428837923,-0.212427865703204,0.02,0.016,1,"stable","Ccdc17","622665"
0.518133963980974,-0.489637604560507,0.05,0.056,1,"stable","Cfap410","67884"
0.518323260807176,-0.474616652232076,0.216,0.223,1,"stable","Itsn2","20403"
0.51841715581623,-0.365828492697476,0.104,0.112,1,"stable","Rtn4ip1","170728"
0.518810890152058,-0.489368229262726,0.195,0.181,1,"stable","Nav2","78286"
