cpd_id	BC_0d_1	BC_0d_2	BC_0d_3	BC_0d_4	BC_3d_1	BC_3d_2	BC_3d_3	BC_3d_4	Veh_0d_1	Veh_0d_2	Veh_0d_3	Veh_0d_4	Veh_3d_1	Veh_3d_2	Veh_3d_3	Veh_3d_4
HM4000130	1.71E-06	0.003829167	4.29E-06	0.003358733	0.001582609	2.69E-06	4.35E-06	1.12E-06	0.000774976	0.011271654	0.002901469	2.91E-06	4.49E-06	4.51E-06	3.75E-06	2.25E-06
HM4000131	0.042739383	0.041504167	0.014822397	0.031066063	0.053576873	0.019402597	0.021504053	0.0232764	0.018612701	0.074472835	0.0123381	0.0152922	0.013415759	0.0084322	0.008439726	0.018226641
HM4000133	0.00030363	1.77E-06	0.000160904	0.000586606	0.000349676	0.000001754	3.55E-06	0.0002562	0.000160569	0.000688976	0.000200196	0.000147	0.0001607	3.72E-06	4.54E-06	0.000127878
HM4000137	4.83E-06	0.003843056	0.008039686	0.006692127	0.011210361	1.04E-06	2.31E-06	0.0062356	2.57E-06	0.007267323	0.003806464	0.0043218	4.05E-06	0.0022918	3.90E-06	0.012296289
HM4000138	0.004052632	0.006363889	0.002824754	0.002447783	0.003691027	0.002966234	0.00239623	0.0035168	0.002811943	0.003325	0.002679334	0.002023	0.002343774	0.0012852	0.001754795	0.002460324
HM4000141	0.001067151	0.0008	0.001137328	0.000633484	0.001187604	0.00092987	0.001315551	0.0009198	0.000563981	0.001550197	0.000857003	0.0011424	0.000784436	0.000497	0.000939726	0.0009098
HM4000142	0.017364065	0.004126389	0.001097446	0.002081629	0.00073173	0.001102597	0.00059114	0.0011004	0.000258768	0.003900984	0.000497747	0.0008036	0.000320039	0.0001176	0.000524658	0.000704662
HM4000144	0.156693285	0.184345833	0.049574853	0.087148416	0.043019241	0.030074026	0.017083695	0.051443	0.010942559	0.133140551	0.017318315	0.0501942	0.010268482	0.0029344	0.040631507	0.035159848
HM4000146	0.160338113	0.202676389	0.039805108	0.06048	0.055414616	0.037763636	0.016417342	0.046116	0.005795071	0.110278937	0.008590597	0.0472388	0.010946693	0.002296	0.044835616	0.025541009
HM4000152	0.010040109	0.010901389	0.002018861	0.011965249	0.02107123	0.001987013	0.001834119	0.0045906	4.81E-06	0.014723425	4.58E-06	0.0047796	1.19E-06	0.0003472	0.001157534	0.004423787
HM4000153	1.82E-06	0.001066667	3.93E-06	0.001022443	0.001410361	4.45E-06	1.34E-06	0.0005698	0.000540095	0.003655709	2.12E-06	0.0003472	4.66E-06	3.73E-06	0.000283562	0.000110561
HMDB0000008	0.035410345	0.021390278	0.032040472	0.016402172	0.020901573	0.020896104	0.020732139	0.0157402	0.017796588	0.017770079	0.012800196	0.0193802	0.016435019	0.0118818	0.020413699	0.013361941
HMDB0000011	2.543065699	1.869423611	1.894988016	1.726630769	2.026648289	1.71098961	1.328985297	1.5727516	0.691990142	1.29215315	0.699798433	1.0672172	0.317341051	0.9479498	1.149324658	0.492702759
HMDB0000020	0.1554902	0.263255556	0.029736935	0.053373575	0.019057354	0.072418182	0.069922149	0.0454622	0.014203033	0.014694488	0.013995886	0.0706216	0.010309339	0.0019348	0.04420137	0.021956422
HMDB0000030	0.004131397	0.004690278	4.12E-06	0.004208869	0.004289362	0.004193506	0.004296324	2.20E-06	4.31E-06	0.004930315	4.29E-06	0.004578	2.01E-06	3.64E-06	2.15E-06	0.004314558
HMDB0000034	0.00684755	0.011622222	0.009449312	0.015610317	0.008902498	0.016005195	0.029328746	0.0144578	0.011748057	0.016269488	0.003997062	0.0061698	0.000604669	0.0130648	0.008057534	0.009830637
HMDB0000036	0.000865154	0.001065278	0.000917289	0.001004706	0.001020537	0.000771429	0.00045787	0.0004718	0.000652891	0.000712402	0.000913222	0.0013272	0.000934241	0.0007504	0.000705479	0.000512845
HMDB0000039	1.009140835	1.249105556	0.3214389	1.025996018	1.288682516	0.103342857	0.690843921	0.9900142	0.171049479	2.125583071	0.550600392	0.854035	0.018161868	0.0107268	0.454620548	0.552893435
HMDB0000042	2.127098004	3.897016667	1.506435756	2.725536471	4.014643108	1.426635065	2.118202639	2.2803424	0.935101801	3.110844094	1.455393928	2.3857526	0.600399805	0.3484992	1.173216438	1.689357755
HMDB0000043	0.001502904	0.002234722	0.002399804	0.001501357	0.004680481	0.001307792	0.001748351	0.0005586	0.000820095	0.002018701	0.001330069	0.0024962	0.000795331	0.001064	0.001430137	0.001012369
